,Velocity,Yaw_Rate,Body_Slip,Steer_Angle,Throttle,Ax,Ay,Yaw_Acceleration
154,90.0,0.0,-5.241379310344827,-10.862068965517242,0.0,-1.6882565852623153,-0.5063078567152327,27.01134676589539
155,90.0,0.0,-5.241379310344827,-9.827586206896552,0.0,-1.2992509358273054,0.8150139084942296,24.93895069296595
156,90.0,0.0,-5.241379310344827,-8.793103448275861,0.0,-0.9329533622066689,2.303184938642818,22.606189684194852
157,90.0,0.0,-5.241379310344827,-7.758620689655172,0.0,-0.600291459621692,3.942291962243097,20.033982930581654
158,90.0,0.0,-5.241379310344827,-6.724137931034482,0.0,-0.3126815784874751,5.702966067732816,17.263659239164255
159,90.0,0.0,-5.241379310344827,-5.689655172413792,0.0,-0.08083836288464284,7.542449779100771,14.35709665714666
160,90.0,0.0,-5.241379310344827,-4.655172413793103,0.0,0.08647114062258594,9.405444467039247,11.395904747568368
161,90.0,0.0,-5.241379310344827,-3.620689655172413,0.0,0.183679520111513,11.226370414711255,8.478785822809112
162,90.0,0.0,-5.241379310344827,-2.5862068965517224,0.0,0.2096391618603961,12.93573987963885,5.712746338381837
163,90.0,0.0,-5.241379310344827,-1.5517241379310338,0.0,0.16837214575462328,14.472958664366837,3.193887465681007
164,90.0,0.0,-5.241379310344827,-0.5172413793103434,0.0,0.06848947949005224,15.801372355762958,0.98341763302533
165,90.0,0.0,-5.241379310344827,0.5172413793103452,0.0,-0.07895771950644905,16.914882434099166,-0.9043741795211513
166,90.0,0.0,-5.241379310344827,1.5517241379310356,0.0,-0.26303743155753034,17.83123884349053,-2.4932640272919935
167,90.0,0.0,-5.241379310344827,2.586206896551726,0.0,-0.47453265485574186,18.579159287681406,-3.8255632458813995
168,90.0,0.0,-5.241379310344827,3.6206896551724164,0.0,-0.7063259095745662,19.188255341217584,-4.94615288895881
169,90.0,0.0,-5.241379310344827,4.655172413793103,0.0,-0.9531183760257572,19.68433844725077,-5.894708644919952
170,90.0,0.0,-5.241379310344827,5.689655172413794,0.0,-1.210991749683927,20.088370013286884,-6.703724290075778
171,90.0,0.0,-5.241379310344827,6.724137931034484,0.0,-1.4770318313483786,20.416953876999145,-7.399090853258685
172,90.0,0.0,-5.241379310344827,7.758620689655174,0.0,-1.7490537776014876,20.68320136927504,-8.001353417985307
173,90.0,0.0,-5.241379310344827,8.793103448275865,0.0,-2.0254097004146474,20.897527243986172,-8.526907885746514
174,90.0,0.0,-5.241379310344827,9.827586206896555,0.0,-2.304852237178483,21.06827059123026,-8.988947642859538
175,90.0,0.0,-5.241379310344827,10.862068965517242,0.0,-2.5864377614228053,21.202174391741572,-9.398188026470512
176,90.0,0.0,-5.241379310344827,11.896551724137932,0.0,-2.869450835777848,21.304713425423163,-9.763378031472554
177,90.0,0.0,-5.241379310344827,12.931034482758623,0.0,-3.153350196950224,21.38036521657645,-10.091707310269255
178,90.0,0.0,-5.241379310344827,13.965517241379313,0.0,-3.4377261017620238,21.432805959569496,-10.389106990482723
179,90.0,0.0,-5.241379310344827,15.0,0.0,-3.72226785326327,21.46506492200459,-10.66048579615761
180,90.0,0.0,-4.689655172413794,-15.0,0.0,-3.3951275007373867,-5.178376240886124,32.271251257246284
181,90.0,0.0,-4.689655172413794,-13.96551724137931,0.0,-3.0010040034620946,-4.549690128392097,31.241431939503013
182,90.0,0.0,-4.689655172413794,-12.931034482758621,0.0,-2.603078994860299,-3.794740917620052,30.02420202170678
183,90.0,0.0,-4.689655172413794,-11.89655172413793,0.0,-2.2043276986999185,-2.8962091854132925,28.59179159889452
184,90.0,0.0,-4.689655172413794,-10.862068965517242,0.0,-1.8093226206567348,-1.8386694044722645,26.918998140131123
185,90.0,0.0,-4.689655172413794,-9.827586206896552,0.0,-1.424567179433648,-0.6115115589167939,24.98764995685108
186,90.0,0.0,-4.689655172413794,-8.793103448275861,0.0,-1.0585963280213515,0.7876209686401249,22.791889220239796
187,90.0,0.0,-4.689655172413794,-7.758620689655172,0.0,-0.7216694710473363,2.349695050723693,20.3430154335369
188,90.0,0.0,-4.689655172413794,-6.724137931034482,0.0,-0.4249881344981776,4.052359079350205,17.672493975681725
189,90.0,0.0,-4.689655172413794,-5.689655172413792,0.0,-0.1795554623997531,5.859576216616045,14.832608534084715
190,90.0,0.0,-4.689655172413794,-4.655172413793103,0.0,0.005094299745826944,7.722416790557035,11.895454529228811
191,90.0,0.0,-4.689655172413794,-3.620689655172413,0.0,0.12213779241436183,9.58073720491367,8.95080745579372
192,90.0,0.0,-4.689655172413794,-2.5862068965517224,0.0,0.16863466735962687,11.367065506871002,6.100866203001709
193,90.0,0.0,-4.689655172413794,-1.5517241379310338,0.0,0.14644161224902635,13.015431757249218,3.4473857588274233
194,90.0,0.0,-4.689655172413794,-0.5172413793103434,0.0,0.06225219686950457,14.475182390178764,1.070524521253202
195,90.0,0.0,-4.689655172413794,0.5172413793103452,0.0,-0.07382364517720509,15.722719497171836,-0.9900996284025806
196,90.0,0.0,-4.689655172413794,1.5517241379310356,0.0,-0.2506781208172537,16.76231001102638,-2.737959044917549
197,90.0,0.0,-4.689655172413794,2.586206896551726,0.0,-0.45827776785050817,17.616399252338077,-4.205500838461981
198,90.0,0.0,-4.689655172413794,3.6206896551724164,0.0,-0.6885819104024608,18.31390996364226,-5.436168622966072
199,90.0,0.0,-4.689655172413794,4.655172413793103,0.0,-0.9355289144855248,18.882655901165926,-6.472390691891794
200,90.0,0.0,-4.689655172413794,5.689655172413794,0.0,-1.1946464365755893,19.346314688508496,-7.350593396348556
201,90.0,0.0,-4.689655172413794,6.724137931034484,0.0,-1.4626368708155224,19.724031513412942,-8.100389744183369
202,90.0,0.0,-4.689655172413794,7.758620689655174,0.0,-1.737052565399751,20.031023504030866,-8.74541144836796
203,90.0,0.0,-4.689655172413794,8.793103448275865,0.0,-2.0160644804583208,20.279373801453985,-9.304489342132719
204,90.0,0.0,-4.689655172413794,9.827586206896555,0.0,-2.2982999884944872,20.478730157389904,-9.792711505094971
205,90.0,0.0,-4.689655172413794,10.862068965517242,0.0,-2.5827266652424306,20.6368479622114,-10.222253105012223
206,90.0,0.0,-4.689655172413794,11.896551724137932,0.0,-2.868569768454625,20.76001633442696,-10.603019700959559
207,90.0,0.0,-4.689655172413794,12.931034482758623,0.0,-3.1552464829346385,20.853350278426213,-10.94310351806761
208,90.0,0.0,-4.689655172413794,13.965517241379313,0.0,-3.442319789491515,20.921038337181237,-11.249155063231306
209,90.0,0.0,-4.689655172413794,15.0,0.0,-3.7294617226090976,20.96652241449232,-11.526659031607164
210,90.0,0.0,-4.137931034482759,-15.0,0.0,-3.469258948062083,-6.189095692788335,31.570347626050687
211,90.0,0.0,-4.137931034482759,-13.96551724137931,0.0,-3.085189283681332,-5.626687490990377,30.631315742176913
212,90.0,0.0,-4.137931034482759,-12.931034482758621,0.0,-2.6972321316390038,-4.947560533691547,29.520012477725743
213,90.0,0.0,-4.137931034482759,-11.89655172413793,0.0,-2.3077675530221073,-4.133914306144018,28.208297692956897
214,90.0,0.0,-4.137931034482759,-10.862068965517242,0.0,-1.9205568420600563,-3.1685134854103154,26.668669907141876
215,90.0,0.0,-4.137931034482759,-9.827586206896552,0.0,-1.5411253262588864,-2.0372151102948735,24.87812797941162
216,90.0,0.0,-4.137931034482759,-8.793103448275861,0.0,-1.177003625658354,-0.7323407865954159,22.823346139681615
217,90.0,0.0,-4.137931034482759,-7.758620689655172,0.0,-0.8376368153976956,0.7437360184899736,20.50618933118463
218,90.0,0.0,-4.137931034482759,-6.724137931034482,0.0,-0.533815338306205,2.3758151562561514,17.947980597767202
219,90.0,0.0,-4.137931034482759,-5.689655172413792,0.0,-0.27664842619196034,4.1347417054966344,15.19124233451432
220,90.0,0.0,-4.137931034482759,-4.655172413793103,0.0,-0.07628690208527002,5.9779317393825755,12.298942838217098
221,90.0,0.0,-4.137931034482759,-3.620689655172413,0.0,0.05936107598401259,7.850955436881706,9.352250563266784
222,90.0,0.0,-4.137931034482759,-2.5862068965517224,0.0,0.12579948845297192,9.690287420984877,6.446706280053378
223,90.0,0.0,-4.137931034482759,-1.5517241379310338,0.0,0.12291329640766017,11.4290795721786,3.683911445618104
224,90.0,0.0,-4.137931034482759,-0.5172413793103434,0.0,0.055384109839941346,13.007871889342695,1.1554850942364057
225,90.0,0.0,-4.137931034482759,0.5172413793103452,0.0,-0.0680476902929458,14.387578691183755,-1.0770373980932206
226,90.0,0.0,-4.137931034482759,1.5517241379310356,0.0,-0.23656408392770337,15.55662215703977,-2.9939028879233773
227,90.0,0.0,-4.137931034482759,2.586206896551726,0.0,-0.4395475410039872,16.52704431877559,-4.611954086701695
228,90.0,0.0,-4.137931034482759,3.6206896551724164,0.0,-0.6680361801870446,17.323842020895114,-5.968585718422167
229,90.0,0.0,-4.137931034482759,4.655172413793103,0.0,-0.9151071711007042,17.975176175677607,-7.106623176245933
230,90.0,0.0,-4.137931034482759,5.689655172413794,0.0,-1.1756289972753222,18.506904324099818,-8.065702468761213
231,90.0,0.0,-4.137931034482759,6.724137931034484,0.0,-1.4458413516707678,18.940721308220635,-8.879234351639095
232,90.0,0.0,-4.137931034482759,7.758620689655174,0.0,-1.7229815869438332,19.294151266859057,-9.574290816857
233,90.0,0.0,-4.137931034482759,8.793103448275865,0.0,-2.005007132849061,19.581179612272848,-10.172529956205913
234,90.0,0.0,-4.137931034482759,9.827586206896555,0.0,-2.2904000071081736,19.812968212221733,-10.691276611076164
235,90.0,0.0,-4.137931034482759,10.862068965517242,0.0,-2.578029174707196,19.998468963681194,-11.144458254503258
236,90.0,0.0,-4.137931034482759,11.896551724137932,0.0,-2.8670511268129073,20.14490215796207,-11.543338409060864
237,90.0,0.0,-4.137931034482759,12.931034482758623,0.0,-3.1568392628473756,20.258136174281745,-11.897091981261001
238,90.0,0.0,-4.137931034482759,13.965517241379313,0.0,-3.446926966215283,20.34295173707733,-12.213217307123466
239,90.0,0.0,-4.137931034482759,15.0,0.0,-3.7369682518367453,20.403267817198735,-12.497876520524557
240,90.0,0.0,-3.586206896551724,-15.0,0.0,-3.5339479154042417,-7.211150224724751,30.739392698155907
241,90.0,0.0,-3.586206896551724,-13.96551724137931,0.0,-3.1594381517402246,-6.710093526036805,29.884136263246734
242,90.0,0.0,-3.586206896551724,-12.931034482758621,0.0,-2.781129703602766,-6.10197404637953,28.87162909970613
243,90.0,0.0,-3.586206896551724,-11.89655172413793,0.0,-2.400918485262874,-5.369097579274959,27.674130479388545
244,90.0,0.0,-3.586206896551724,-10.862068965517242,0.0,-2.021868376634761,-4.493239994362936,26.26293669413182
245,90.0,0.0,-3.586206896551724,-9.827586206896552,0.0,-1.6486059398228456,-3.4576764339454886,24.611488263149635
246,90.0,0.0,-3.586206896551724,-8.793103448275861,0.0,-1.28765569277123,-2.250248811192311,22.700081128166193
247,90.0,0.0,-3.586206896551724,-7.758620689655172,0.0,-0.9475394098409239,-0.8671262730553908,20.521646184952132
248,90.0,0.0,-3.586206896551724,-6.724137931034482,0.0,-0.6384444140294394,0.6836736285468816,18.087150586149825
249,90.0,0.0,-3.586206896551724,-5.689655172413792,0.0,-0.3713776179229794,2.380165912090564,15.428825827722628
250,90.0,0.0,-3.586206896551724,-4.655172413793103,0.0,-0.15693487660015537,4.186276738510799,12.60032723198731
251,90.0,0.0,-3.586206896551724,-3.620689655172413,0.0,-0.003961661527143261,6.053320136922611,9.67449871526542
252,90.0,0.0,-3.586206896551724,-2.5862068965517224,0.0,0.0816696773099245,7.922451833083443,6.73977333574681
253,90.0,0.0,-3.586206896551724,-1.5517241379310338,0.0,0.09806709433174648,9.728714282491486,3.8942947770871346
254,90.0,0.0,-3.586206896551724,-0.5172413793103434,0.0,0.0479372460122422,11.40863191317721,1.2346428358374786
255,90.0,0.0,-3.586206896551724,0.5172413793103452,0.0,-0.061629482139477575,12.911676459627756,-1.1615877086273305
256,90.0,0.0,-3.586206896551724,1.5517241379310356,0.0,-0.2205705794626759,14.21072676319511,-3.2520721941597976
257,90.0,0.0,-3.586206896551724,2.586206896551726,0.0,-0.4180304008093828,15.30438753265546,-5.033811927019374
258,90.0,0.0,-3.586206896551724,3.6206896551724164,0.0,-0.6442239529559982,16.21006050709748,-6.532892195771795
259,90.0,0.0,-3.586206896551724,4.655172413793103,0.0,-0.8913010379351534,16.953736399742947,-7.78891900229636
260,90.0,0.0,-3.586206896551724,5.689655172413794,0.0,-1.1533582167004033,17.562264222105053,-8.843067759074344
261,90.0,0.0,-3.586206896551724,6.724137931034484,0.0,-1.4260745501754346,18.05954559862458,-9.732121460918718
262,90.0,0.0,-3.586206896551724,7.758620689655174,0.0,-1.7063038521676588,18.465463056484364,-10.486742972174342
263,90.0,0.0,-3.586206896551724,8.793103448275865,0.0,-1.9917464862306666,18.796090980209737,-11.131758335637363
264,90.0,0.0,-3.586206896551724,9.827586206896555,0.0,-2.280712733759711,19.064311166994678,-11.687086871782498
265,90.0,0.0,-3.586206896551724,10.862068965517242,0.0,-2.5719568245656195,19.2804514069633,-12.168718078980685
266,90.0,0.0,-3.586206896551724,11.896551724137932,0.0,-2.864559541877509,19.452826169802723,-12.589541908419825
267,90.0,0.0,-3.586206896551724,12.931034482758623,0.0,-3.1578430245183275,19.588161180108237,-12.960002157247859
268,90.0,0.0,-3.586206896551724,13.965517241379313,0.0,-3.451310116411792,19.69193220857372,-13.2886133580808
269,90.0,0.0,-3.586206896551724,15.0,0.0,-3.744595605219763,19.768607558773102,-13.582337429991554
270,90.0,0.0,-3.0344827586206895,-15.0,0.0,-3.5896093508824793,-8.244217413839698,29.783826452672375
271,90.0,0.0,-3.0344827586206895,-13.96551724137931,0.0,-3.2241458577888213,-7.79948149759122,29.00561462163222
272,90.0,0.0,-3.0344827586206895,-12.931034482758621,0.0,-2.8550976966761907,-7.257193257544801,28.08479009365663
273,90.0,0.0,-3.0344827586206895,-11.89655172413793,0.0,-2.4839768564963327,-6.600231658588216,26.994632380367555
274,90.0,0.0,-3.0344827586206895,-10.862068965517242,0.0,-2.1132654878869235,-5.810109264733967,25.706224341949817
275,90.0,0.0,-3.0344827586206895,-9.827586206896552,0.0,-1.746793329114535,-4.868463754952999,24.1907417399752
276,90.0,0.0,-3.0344827586206895,-8.793103448275861,0.0,-1.390121120403061,-3.7596402825016293,22.42342784619112
277,90.0,0.0,-3.0344827586206895,-7.758620689655172,0.0,-1.050786460908911,-2.4743160970363447,20.389171941496326
278,90.0,0.0,-3.0344827586206895,-6.724137931034482,0.0,-0.7382053006923677,-1.0135119067967422,18.08866933267175
279,90.0,0.0,-3.0344827586206895,-5.689655172413792,0.0,-0.46305943610365397,0.6082510832423226,15.543238304910332
280,90.0,0.0,-3.0344827586206895,-4.655172413793103,0.0,-0.23618640069287838,2.361800659372924,12.796526195686509
281,90.0,0.0,-3.0344827586206895,-3.620689655172413,0.0,-0.06721395659526742,4.204346962476701,9.912872756153131
282,90.0,0.0,-3.0344827586206895,-2.5862068965517224,0.0,0.036753051577292084,6.081921524801772,6.973594141525101
283,90.0,0.0,-3.0344827586206895,-1.5517241379310338,0.0,0.07221010742279493,7.932783062871076,4.07191209173246
284,90.0,0.0,-3.0344827586206895,-0.5172413793103434,0.0,0.039990087184567105,9.692853349792724,1.3048722055997297
285,90.0,0.0,-3.0344827586206895,0.5172413793103452,0.0,-0.05460202631372455,11.304643970316508,-1.2401194318853475
286,90.0,0.0,-3.0344827586206895,1.5517241379310356,0.0,-0.2026524367911048,12.728069482563077,-3.501849006775239
287,90.0,0.0,-3.0344827586206895,2.586206896551726,0.0,-0.393483314081565,13.947292814896992,-5.455994865065014
288,90.0,0.0,-3.0344827586206895,3.6206896551724164,0.0,-0.616698813922191,14.96893779489029,-7.112653039130066
289,90.0,0.0,-3.0344827586206895,4.655172413793103,0.0,-0.8635200769361004,15.813756775180137,-8.503704164167896
290,90.0,0.0,-3.0344827586206895,5.689655172413794,0.0,-1.1271687492781617,16.507686305544837,-9.6690963264029
291,90.0,0.0,-3.0344827586206895,6.724137931034484,0.0,-1.4026498054936283,17.075995459200207,-10.647809324105415
292,90.0,0.0,-3.0344827586206895,7.758620689655174,0.0,-1.6863458083714127,17.540715621897835,-11.47385913301059
293,90.0,0.0,-3.0344827586206895,8.793103448275865,0.0,-1.9756416487452118,17.920085719762294,-12.175420427292552
294,90.0,0.0,-3.0344827586206895,9.827586206896555,0.0,-2.2686397892169827,18.228878370073726,-12.77532050633852
295,90.0,0.0,-3.0344827586206895,10.862068965517242,0.0,-2.563958379126371,18.478978643368052,-13.291930283401921
296,90.0,0.0,-3.0344827586206895,11.896551724137932,0.0,-2.8605897511928595,18.67995290265772,-13.740042655217312
297,90.0,0.0,-3.0344827586206895,12.931034482758623,0.0,-3.1577999883415657,18.839527546854754,-14.131612104156947
298,90.0,0.0,-3.0344827586206895,13.965517241379313,0.0,-3.45505629726253,18.963969890208997,-14.476342700140243
299,90.0,0.0,-3.0344827586206895,15.0,0.0,-3.751973172693228,19.05838374830823,-14.78214434933941
300,90.0,0.0,-2.482758620689655,-15.0,0.0,-3.6366599317497887,-9.287046384957737,28.71056319717604
301,90.0,0.0,-2.482758620689655,-13.96551724137931,0.0,-3.279726265372873,-8.893606008673599,28.002991745708623
302,90.0,0.0,-2.482758620689655,-12.931034482758621,0.0,-2.91950491612083,-8.411774590918087,27.166851473629446
303,90.0,0.0,-2.482758620689655,-11.89655172413793,0.0,-2.557210746299088,-7.825349863591473,26.176911510342446
304,90.0,0.0,-2.482758620689655,-10.862068965517242,0.0,-2.194853839334633,-7.116180900540017,25.00487708551242
305,90.0,0.0,-2.482758620689655,-9.827586206896552,0.0,-1.8355811305585128,-6.265144330342654,23.620892000390565
306,90.0,0.0,-2.482758620689655,-8.793103448275861,0.0,-1.484067877951763,-5.254136546639297,21.996612034121704
307,90.0,0.0,-2.482758620689655,-7.758620689655172,0.0,-1.146858882940547,-4.0692874911623145,20.110161728607874
308,90.0,0.0,-2.482758620689655,-6.724137931034482,0.0,-0.8324721887666109,-2.70510453615633,17.952512133446344
309,90.0,0.0,-2.482758620689655,-5.689655172413792,0.0,-0.5510461589381059,-1.1684994113717186,15.53364795139565
310,90.0,0.0,-2.482758620689655,-4.655172413793103,0.0,-0.31342659286994135,0.5187904972782668,12.88622355823422
311,90.0,0.0,-2.482758620689655,-3.620689655172413,0.0,-0.1298399239753814,2.320308217671866,10.065313501904045
312,90.0,0.0,-2.482758620689655,-2.5862068965517224,0.0,-0.008487408370907945,4.187125192064993,7.144908880931587
313,90.0,0.0,-2.482758620689655,-1.5517241379310338,0.0,0.045646457885630945,6.061207490817515,4.21279280098293
314,90.0,0.0,-2.482758620689655,-0.5172413793103434,0.0,0.03163609852491658,7.879815232087902,1.3639381233912393
315,90.0,0.0,-2.482758620689655,0.5172413793103452,0.0,-0.0470273723095327,9.582189732335792,-1.309560594810764
316,90.0,0.0,-2.482758620689655,1.5517241379310356,0.0,-0.18285854513009278,11.118942828373783,-3.7327701269922615
317,90.0,0.0,-2.482758620689655,2.586206896551726,0.0,-0.3657780686714596,12.460917013842375,-5.861534722707184
318,90.0,0.0,-2.482758620689655,3.6206896551724164,0.0,-0.5850947344928258,13.602137890664753,-7.687129919499107
319,90.0,0.0,-2.482758620689655,4.655172413793103,0.0,-0.8311942775800912,14.555131390187872,-9.229186395326204
320,90.0,0.0,-2.482758620689655,5.689655172413794,0.0,-1.0963573354350233,15.342462233506755,-10.522737817933603
321,90.0,0.0,-2.482758620689655,6.724137931034484,0.0,-1.3747966691343372,15.989357260137776,-11.60688033097546
322,90.0,0.0,-2.482758620689655,7.758620689655174,0.0,-1.6623169798859951,16.51941456266181,-12.51816075995088
323,90.0,0.0,-2.482758620689655,8.793103448275865,0.0,-1.9559111158798494,16.952920340776167,-13.287981907238835
324,90.0,0.0,-2.482758620689655,9.827586206896555,0.0,-2.2534245390182637,17.306626741600876,-13.942264646795035
325,90.0,0.0,-2.482758620689655,10.862068965517242,0.0,-2.5533096777485236,17.594131872632424,-14.502041429131742
326,90.0,0.0,-2.482758620689655,11.896551724137932,0.0,-2.8544533656959117,17.82641453923846,-14.984288562932466
327,90.0,0.0,-2.482758620689655,12.931034482758623,0.0,-3.1560558583062197,18.012341687499234,-15.40271498582135
